date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:12	124045/124045	U-----	200	untouched ('OK')	application/octet-stream	etag:%22980664-1e48d-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/ScratchApplet.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/ScratchApplet.jar	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/index.html)
17:42:12	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%22980660-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/index.html)
17:42:12	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%229801ce-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_5/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_5/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_5/index.html)
17:42:13	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%229801c7-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_6/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_6/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_6/index.html)
17:42:13	124045/124045	U-----	200	untouched ('OK')	application/octet-stream	etag:%2298066b-1e48d-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/ScratchApplet.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/ScratchApplet.jar	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/index.html)
17:42:13	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%22980668-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/index.html)
17:42:14	124045/124045	U-----	200	untouched ('OK')	application/octet-stream	etag:%22980673-1e48d-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/ScratchApplet.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/ScratchApplet.jar	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/index.html)
17:42:14	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%22980670-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/index.html)
17:42:15	16429/16429	U--MC-	200	updated ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:42:17%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10909/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10909/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10908/)
17:42:17	39330/39330	U--MC-	200	updated ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:42:17%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10910/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10910/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10909/)
