date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:28	1872/1872	---M--	200	added ('OK')	image/jpeg	etag:%22962c6a-750-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/images/tmpl_icon_exer12.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/images/tmpl_icon_exer12.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/)
17:12:28	831/831	---M--	200	added ('OK')	image/jpeg	etag:%229628dc-33f-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/images/imgA403-10.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/images/imgA403-10.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/)
17:12:29	679/679	---M--	200	added ('OK')	image/jpeg	etag:%229628dd-2a7-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/images/imgA403-11.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/images/imgA403-11.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/)
17:12:29	1875/1875	---M--	200	added ('OK')	image/jpeg	etag:%22962c68-753-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/images/tmpl_icon_exer13.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/images/tmpl_icon_exer13.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/)
17:12:30	7157/7157	---M--	200	added ('OK')	text/html	etag:%2298067f-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_1/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_1/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/)
17:12:41	232166/232166	---M--	200	added ('OK')	image/jpeg	etag:%22980679-38ae6-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10926/extras/Experiments-Simulations/Turtleworld/Kefa4_1_askisi_15/Kefa4_1_askisi_15.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10926/extras/Experiments-Simulations/Turtleworld/Kefa4_1_askisi_15/Kefa4_1_askisi_15.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10926/)
17:13:06	226514/226514	---M--	200	added ('OK')	image/jpeg	etag:%22980680-374d2-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_1/Kefa4_2_drastiriotita_1.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_1/Kefa4_2_drastiriotita_1.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/)
17:13:06	7157/7157	---M--	200	added ('OK')	text/html	etag:%22980686-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_2/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_2/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/)
17:13:22	248328/248328	---M--	200	added ('OK')	image/jpeg	etag:%22980688-3ca08-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_2/Kefa4_2_drastiriotita_2.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_2/Kefa4_2_drastiriotita_2.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/)
17:13:27	26803/26803	---M--	200	added ('OK')	image/jpeg	etag:%22980275-68b3-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10926/extras/Experiments-Simulations/Geogebra/kefa4_1_drastiriotita_3/images/dsch-ypdbm.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10926/extras/Experiments-Simulations/Geogebra/kefa4_1_drastiriotita_3/images/dsch-ypdbm.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10926/extras/Experiments-Simulations/Geogebra/kefa4_1_drastiriotita_3/index.html)
